37365840 | Association | PTK2B | SLIT3
37365840 | Association | DUSP1 | PPARG
37365840 | Association | DUSP1 | F3
37365840 | Association | Epoprostenol | PDX1
37365840 | Association | Epoprostenol | SAA@
37365840 | Association | SLIT3 | TAGLN
37365840 | Association | SAA@ | SREBF1
37365840 | Association | Nitric Oxide | NPFF
37365840 | Association | PPARG | TLR4
37365840 | Association | MTOR | NPFF
37365840 | Association | LPL | REN
37365840 | Association | Thiobarbituric Acid Reactive Substances | TNF
37365840 | Association | TNF | NPFF
37365840 | Association | Reactive Oxygen Species | F3
37365840 | Association | MTOR | TGFB1
37365840 | Association | SREBF1 | KLF4
37365840 | Association | Nitric Oxide | MTOR
37365840 | Association | Reactive Oxygen Species | TGFB1
37365840 | Association | Myocardial Infarction | MAS1L
37365840 | Association | MME | SAA@
37365840 | Association | DUSP1 | SAA@
37365840 | Association | Reactive Oxygen Species | NPFF
37365840 | Association | AKT1 | SAA@
37365840 | Association | LPL | UCP1
37365840 | Association | Reactive Oxygen Species | KLF4
37365840 | Association | PPARG | UCP1
37365840 | Association | PPARG | TGFB1
37365840 | Association | AKT1 | SIRT1
37365840 | Association | LPL | TAGLN
37365840 | Association | REN | TGFB1
37365840 | Association | Nitric Oxide | TLR4
37365840 | Association | Thiobarbituric Acid Reactive Substances | SREBF1
37365840 | Association | SLIT3 | KLF4
37365840 | Association | F3 | KLF4
37365840 | Association | DUSP1 | PTK2B
37365840 | Association | Reperfusion Injury | MAS1L
37365840 | Association | PDX1 | NPFF
37365840 | Association | SLIT3 | TGFB1
37365840 | Association | TLR4 | TNF
37365840 | Association | Thiobarbituric Acid Reactive Substances | SOD1
37365840 | Association | SIRT1 | TGFB1
37365840 | Association | Nitric Oxide | F3
37365840 | Association | Epoprostenol | Thiobarbituric Acid Reactive Substances
37365840 | Association | TNF | UCP1
37365840 | Association | Reactive Oxygen Species | SIRT1
37365840 | Association | Thiobarbituric Acid Reactive Substances | SLIT3
37365840 | Association | SREBF1 | TLR4
37365840 | Association | AKT1 | TLR4
37365840 | Association | Thiobarbituric Acid Reactive Substances | PPARG
37365840 | Association | Nitric Oxide | MME
37365840 | Association | PDX1 | TLR4
37365840 | Association | NPFF | KLF4
37365840 | Association | MTOR | SOD1
37365840 | Association | AKT1 | SREBF1
37365840 | Association | Nitric Oxide | Reactive Oxygen Species
37365840 | Association | SAA@ | UCP1
37365840 | Association | Thiobarbituric Acid Reactive Substances | UCP1
37365840 | Association | DUSP1 | SIRT1
37365840 | Association | Nitric Oxide | SLIT3
37365840 | Association | Reactive Oxygen Species | SREBF1
37365840 | Association | Thiobarbituric Acid Reactive Substances | TAGLN
37365840 | Association | PDX1 | SREBF1
37365840 | Association | SIRT1 | KLF4
37365840 | Association | Reactive Oxygen Species | SLIT3
37365840 | Association | MTOR | PPARG
37365840 | Association | Reactive Oxygen Species | MME
37365840 | Association | Nitric Oxide | SIRT1
37365840 | Association | Reactive Oxygen Species | SOD1
37365840 | Association | AKT1 | TNF
37365840 | Association | PDX1 | SOD1
37365840 | Association | PTK2B | KLF4
37365840 | Association | Epoprostenol | TAGLN
37365840 | Association | LPL | MME
37365840 | Association | REN | SLIT3
37365840 | Association | MME | TLR4
37365840 | Association | Epoprostenol | LPL
37365840 | Association | PDX1 | SLIT3
37365840 | Association | SLIT3 | SOD1
37365840 | Association | Reactive Oxygen Species | PPARG
37365840 | Association | DUSP1 | TLR4
37365840 | Association | PDX1 | PPARG
37365840 | Association | Epoprostenol | SIRT1
37365840 | Association | SIRT1 | TAGLN
37365840 | Association | MTOR | REN
37365840 | Association | PTK2B | NPFF
37365840 | Association | PPARG | REN
37365840 | Association | Nitric Oxide | KLF4
37365840 | Association | DUSP1 | MTOR
37365840 | Positive_Correlation | MAS1L | ANGPT4
37365840 | Association | PDX1 | SAA@
37365840 | Association | DUSP1 | KLF4
37365840 | Association | Reactive Oxygen Species | UCP1
37365840 | Association | Reactive Oxygen Species | DUSP1
37365840 | Association | SIRT1 | SOD1
37365840 | Association | Thiobarbituric Acid Reactive Substances | AKT1
37365840 | Association | PTK2B | SREBF1
37365840 | Association | PTK2B | TLR4
37365840 | Association | PTK2B | SAA@
37365840 | Association | PPARG | TAGLN
37365840 | Association | SAA@ | TNF
37365840 | Association | F3 | MME
37365840 | Association | F3 | TAGLN
37365840 | Association | MME | TGFB1
37365840 | Association | TNF | KLF4
37365840 | Association | Epoprostenol | MME
37365840 | Association | SIRT1 | UCP1
37365840 | Association | PPARG | KLF4
37365840 | Association | Epoprostenol | SREBF1
37365840 | Association | F3 | PTK2B
37365840 | Association | SOD1 | UCP1
37365840 | Association | Myocardial Ischemia | MAS1L
37365840 | Association | F3 | TNF
37365840 | Association | Nitric Oxide | AKT1
37365840 | Association | MTOR | KLF4
37365840 | Association | Reactive Oxygen Species | AKT1
37365840 | Association | SIRT1 | TNF
37365840 | Association | F3 | TLR4
37365840 | Association | AKT1 | PPARG
37365840 | Association | Epoprostenol | F3
37365840 | Association | SIRT1 | MME
37365840 | Association | SAA@ | KLF4
37365840 | Association | LPL | TGFB1
37365840 | Association | REN | SAA@
37365840 | Association | SREBF1 | NPFF
37365840 | Association | Nitric Oxide | TNF
37365840 | Association | REN | SREBF1
37365840 | Association | SAA@ | SLIT3
37365840 | Association | TAGLN | TGFB1
37365840 | Negative_Correlation | Inflammation | MAS1L
37365840 | Association | LPL | SOD1
37365840 | Association | PPARG | SOD1
37365840 | Association | PTK2B | SIRT1
37365840 | Association | REN | SOD1
37365840 | Association | Epoprostenol | REN
37365840 | Association | SLIT3 | NPFF
37365840 | Association | DUSP1 | SOD1
37365840 | Association | Cardiovascular Diseases | MAS1L
