36043467 | @CHEMICAL_1_methylimidazole | 1-methylimidazole | 376 | 17 | Chemical | chemical | N-methylimidazole
36043467 | @CHEMICAL_1_methylimidazole | 1-methylimidazole | 395 | 3 | Chemical | chemical | NMI
36043467 | @CHEMICAL_Amidines | Amidines | 401 | 7 | Chemical | chemical | amidine
36043467 | @CHEMICAL_Amines | Amines | 746 | 5 | Chemical | chemical | amine
36043467 | @CHEMICAL_imidazole | imidazole | 927 | 9 | Chemical | chemical | imidazole
36043467 | @CHEMICAL_6_7_dihydro_5H_pyrrolo(1_2_a)imidazole | 6 7-dihydro-5H-pyrrolo(1 2-a)imidazole | 1043 | 38 | Chemical | chemical | 6,7-Dihydro-5H-pyrrolo[1,2-a]imidazole
36043467 | @CHEMICAL_imidazole | imidazole | 1486 | 9 | Chemical | chemical | imidazole
36043467 | @CHEMICAL_6_7_dihydro_5H_pyrrolo(1_2_a)imidazole | 6 7-dihydro-5H-pyrrolo(1 2-a)imidazole | 1650 | 38 | Chemical | chemical | 6,7-Dihydro-5H-pyrrolo[1,2-a]imidazole
36043467 | @CHEMICAL_imidazole | imidazole | 1818 | 9 | Chemical | chemical | imidazole
36043467 | @CHEMICAL_imidazole | imidazole | 1877 | 9 | Chemical | chemical | imidazole
36043467 | @CHEMICAL_Acrolein | Acrolein | 1891 | 8 | Chemical | chemical | acrolein
36043467 | @CHEMICAL_imidazole | imidazole | 2022 | 9 | Chemical | chemical | imidazole
36043467 | @CHEMICAL_Lactams | Lactams | 2271 | 7 | Chemical | chemical | lactams
36043467 | @CHEMICAL_imidazole | imidazole | 2387 | 9 | Chemical | chemical | imidazole
36043467 | @CHEMICAL_2_oxindole | 2-oxindole | 2707 | 11 | Chemical | chemical | 2-oxindoles
36043467 | @CHEMICAL_Copper | Copper | 3009 | 2 | Chemical | chemical | Cu
36043467 | @CHEMICAL_Alcohols | Alcohols | 3108 | 8 | Chemical | chemical | alcohols
36043467 | @CHEMICAL_Carbamates | Carbamates | 3175 | 9 | Chemical | chemical | carbamate
36043467 | @CHEMICAL_imidazole | imidazole | 3206 | 9 | Chemical | chemical | imidazole
36043467 | @DISEASE_COVID_19 | COVID-19 | 3389 | 9 | Disease | disease | -COVID-19
36043467 | @CHEMICAL_remdesivir | remdesivir | 3404 | 10 | Chemical | chemical | remdesivir
36043467 | @CHEMICAL_imidazole | imidazole | 3605 | 9 | Chemical | chemical | imidazole
36043467 | @CHEMICAL_imidazole | imidazole | 3681 | 9 | Chemical | chemical | imidazole
36127702 | @DISEASE_Coronavirus_Infections | Coronavirus Infections | 7 | 11 | Disease | disease | Coronavirus
36127702 | @DISEASE_Smoke_Inhalation_Injury | Smoke Inhalation Injury | 44 | 7 | Disease | disease | smoking
36127702 | @CHEMICAL_Alcohols | Alcohols | 53 | 7 | Chemical | chemical | alcohol
36127702 | @DISEASE_COVID_19 | COVID-19 | 95 | 8 | Disease | disease | COVID-19
36127702 | @DISEASE_Smoke_Inhalation_Injury | Smoke Inhalation Injury | 213 | 7 | Disease | disease | smoking
36127702 | @CHEMICAL_Alcohols | Alcohols | 225 | 7 | Chemical | chemical | alcohol
36127702 | @DISEASE_COVID_19 | COVID-19 | 257 | 8 | Disease | disease | COVID-19
36127702 | @DISEASE_Smoke_Inhalation_Injury | Smoke Inhalation Injury | 385 | 7 | Disease | disease | smoking
36127702 | @CHEMICAL_Alcohols | Alcohols | 405 | 7 | Chemical | chemical | alcohol
36127702 | @DISEASE_Smoke_Inhalation_Injury | Smoke Inhalation Injury | 586 | 7 | Disease | disease | smoking
36127702 | @CHEMICAL_Alcohols | Alcohols | 614 | 7 | Chemical | chemical | alcohol
36127702 | @DISEASE_Smoke_Inhalation_Injury | Smoke Inhalation Injury | 1109 | 7 | Disease | disease | smoking
36127702 | @DISEASE_Smoke_Inhalation_Injury | Smoke Inhalation Injury | 1410 | 7 | Disease | disease | smoking
36127702 | @DISEASE_Smoke_Inhalation_Injury | Smoke Inhalation Injury | 1767 | 7 | Disease | disease | smoking
