32393046 | Association | PRKCQ | TRAF1
32393046 | Association | TREM1 | TP53
32393046 | Association | AKT1 | PRKCQ
32393046 | Association | PDGFRB | ZEB2
32393046 | Association | YBX2 | PDGFRB
32393046 | Association | VCAM1 | ZEB2
32393046 | Association | ZEB1 | VCAM1
32393046 | Association | TREM1 | ZEB2
32393046 | Association | TREM1 | ZEB1
32393046 | Association | YBX2 | TREM1
32393046 | Association | AHRR | VEGFA
32393046 | Association | YBX2 | TNF
32393046 | Association | YBX2 | VCAM1
32393046 | Association | PRKCQ | VCAM1
32393046 | Association | TRAF1 | XRCC2
32393046 | Association | PDGFRB | VEGFA
32393046 | Association | TREM1 | VEGFA
32393046 | Association | TP53 | ZEB2
32393046 | Association | ZEB1 | TP53
32393046 | Association | TRIAP1 | ZEB2
32393046 | Association | TNF | VEGFA
32393046 | Association | AKT1 | ZEB2
32393046 | Association | AKT1 | ZEB1
32393046 | Association | TRIAP1 | VCAM1
32393046 | Association | TRIAP1 | TRAF1
32393046 | Association | TNF | XRCC2
32393046 | Association | TRIAP1 | TNF
32393046 | Association | VEGFA | XRCC2
32393046 | Association | YBX2 | TRIAP1
32393046 | Association | YBX2 | ZEB2
32393046 | Association | AKT1 | TNF
32393046 | Association | TREM1 | VCAM1
32393046 | Association | TRIAP1 | PDGFRB
23409078 | Association | Pancreatitis Acute Necrotizing | graa
23409078 | Association | eomes | LOC106603766
23409078 | Association | Pancreatitis Acute Necrotizing | LOC100329178
23409078 | Positive_Correlation | LOC100329178 | eomes
23409078 | Positive_Correlation | graa | eomes
23409078 | Association | Pancreatitis Acute Necrotizing | eomes
30451821 | Association | Sumo3 | Pias4
30201051 | Association | Autism Spectrum Disorder | TSC2
30201051 | Association | Self Mutilation | TSC2
30201051 | Association | Learning Disabilities | TSC2
30201051 | Association | Tuberous Sclerosis 1 | TSC2
30201051 | Association | Pediatric acute-onset neuropsychiatric syndrome | TSC2
30201051 | Association | Intellectual Disability | TSC2
30201051 | Association | Neurologic Manifestations | TSC2
29095668 | Association | PIAS4 | H2AZ2
35442061 | Association | Diarrhea | KPNA1
35442061 | Association | IFNA1 | KPNA1
35442061 | Association | KPNA1 | STAT1
20534857 | Positive_Correlation | Infections | MICA
20534857 | Negative_Correlation | Infections | HLA-DRA
20534857 | Negative_Correlation | Infections | HSPA5
38339367 | Negative_Correlation | tofacitinib | Colitis
36195449 | Association | Myositis Inclusion Body | GBP6
36195449 | Association | Myositis Inclusion Body | KLRG1
36195449 | Association | Polymyositis | KLRG1
36195449 | Association | Inflammation | IFNA1
36195449 | Association | Myositis Inclusion Body | B3GAT1
36195449 | Association | Polymyositis | GBP6
36216795 | Association | Neoplasms | SMARCA2
36216795 | Negative_Correlation | SMARCA2 | VHL
36216795 | Bind | SMARCA2 | SMARCA4
36216795 | Association | Neoplasms | SMARCA4
35395970 | Negative_Correlation | MICB | SOCS3
35395970 | Positive_Correlation | IFNG | SOCS3
35395970 | Association | KLRK1 | MICB
35395970 | Positive_Correlation | STAT3 | SOCS3
35395970 | Association | Precursor Cell Lymphoblastic Leukemia-Lymphoma | SOCS3
35395970 | Negative_Correlation | MICA | SOCS3
35395970 | Association | MICA | KLRK1
35395970 | Positive_Correlation | TNF | SOCS3
30031388 | Association | CSF1 | IL12B
30031388 | Association | IL17A | TCF3
30031388 | Association | IL12B | IL32
30031388 | Association | MIR223 | IL23A
30031388 | Association | NFKB1 | IL23A
30031388 | Association | IL27 | IL18
30031388 | Association | Hepatitis C Chronic | NOX1
30031388 | Association | NOX1 | IL6
30031388 | Association | IL27 | MIR155
30031388 | Association | IL15 | IL17A
30031388 | Association | NOX1 | IL13
30031388 | Association | CSF1 | TGFA
30031388 | Association | NOX1 | IL23A
30031388 | Association | MIR223 | IL32
30031388 | Association | IL27 | IL6
30031388 | Association | Hepatitis C Chronic | IL18
30031388 | Association | CSF1 | MIR223
30031388 | Association | IL15 | IL32
30031388 | Negative_Correlation | tocotrienol delta | Neoplasms
30031388 | Association | CSF1 | MIR155
30031388 | Association | Hepatitis C Chronic | RXRA
30031388 | Positive_Correlation | tocotrienol delta | ICAM1
30031388 | Association | IL5 | IL6
30031388 | Association | CSF1 | NOX1
30031388 | Association | IL2 | TGFA
30031388 | Association | NOX1 | MIR223
30031388 | Association | IL12B | TCF3
30031388 | Association | IL13 | IL18
30031388 | Association | IL18 | IL32
30031388 | Association | IL6 | IL15
30031388 | Association | IL18 | IL23A
30031388 | Association | IL18 | MIR21
30031388 | Association | Hepatitis C Chronic | IL6
30031388 | Association | IL6 | IL32
30031388 | Association | IL17A | IL23A
30031388 | Association | Hepatitis C Chronic | IL12B
30031388 | Association | IL6 | IL17A
30031388 | Negative_Correlation | tocotrienol delta | NDUFB1
30031388 | Association | tocotrienol delta | NFKB1
30031388 | Association | IL5 | MIR223
30031388 | Association | Hepatitis C Chronic | IL13
30031388 | Association | IL2 | STAT2
30031388 | Association | IL24 | MIR21
30031388 | Association | IL24 | IL23A
30031388 | Association | IL13 | IL17A
30031388 | Association | IL6 | MIR21
30031388 | Association | IL6 | IL23A
30031388 | Association | MIR223 | TCF3
30031388 | Negative_Correlation | tocotrienol delta | TNF
30031388 | Negative_Correlation | tocotrienol delta | Hepatitis C Chronic
30031388 | Association | IL15 | TCF3
30031388 | Association | IL2 | MIR155
30031388 | Association | NFKB1 | STAT2
30031388 | Association | IL6 | MIR223
30031388 | Association | IL13 | TGFA
30031388 | Negative_Correlation | tocotrienol delta | CYB5R4
30031388 | Association | MIR155 | NFKB1
30031388 | Association | Hepatitis C Chronic | CSF1
30031388 | Association | IL18 | TCF3
30031388 | Association | IL6 | TCF3
