26063058 | Association | PIAS1 | NR1I2
26063058 | Association | PPARGC1A | NR1I2
26063058 | Association | PPARGC1A | PIAS4
26063058 | Association | SENP6 | SUMO2
26063058 | Association | PIAS4 | SUMO1
26063058 | Association | SUMO1 | NR1I2
26063058 | Positive_Correlation | SUMO3 | PIAS1
26063058 | Positive_Correlation | CYP4F3 | PIAS1
26063058 | Association | SENP3 | SUMO2
26063058 | Association | SENP2 | NR1I2
26063058 | Association | Inflammation | NR1I2
26063058 | Association | TNF | NR1I2
25701873 | Association | Limb-girdle muscular dystrophy type 2H | Trim32
25701873 | Association | Limb-girdle muscular dystrophy type 2H | Mul1
25701873 | Association | Muscular Diseases | Trim32
25701873 | Association | Ndrg2 | Trim32
25701873 | Association | Pias4 | Trim32
38346795 | Bind | CXCR3 | ACKR3
38346795 | Association | Neoplasms | ACKR3
38597583 | Positive_Correlation | IL4 | UCP1
38597583 | Negative_Correlation | Inflammation | IL4
38597583 | Association | AKT1 | INS
38597583 | Association | Metabolic Diseases | IL4
38597583 | Association | Lipids | IL4
38597583 | Positive_Correlation | IL4 | POMC
38597583 | Association | IL4 | LEP
38597583 | Association | Neoplasms Adipose Tissue | IL4
38597583 | Negative_Correlation | IL4 | NPY
38597583 | Negative_Correlation | Insulin Resistance | IL4
38597583 | Association | IL4 | INS
38597583 | Association | AKT1 | IL4
38597583 | Association | Obesity | IL4
38597583 | Negative_Correlation | Glucose | IL4
11477070 | Association | Infertility | PIAS2
11477070 | Negative_Correlation | PARK7 | PIAS2
11477070 | Association | Infertility | Park7
11477070 | Positive_Correlation | PARK7 | AR
11477070 | Association | AR | PIAS2
35460552 | Association | Acute Lung Injury | Nrip1
35460552 | Association | Inflammation | Nrip1
35460552 | Association | Lung Injury | Nrip1
35460552 | Positive_Correlation | Ube2i | Nrip1
35460552 | Association | Lung Injury | Pias1
35460552 | Positive_Correlation | Nrip1 | Pias1
38586891 | Positive_Correlation | Igf1 | Igf1r
38586891 | Association | Diabetic Nephropathies | IGF1
38586891 | Positive_Correlation | Glucose | Wounds and Injuries
38586891 | Association | Wounds and Injuries | Igf1
38586891 | Association | Wounds and Injuries | Jak2
38586891 | Positive_Correlation | Igf1 | Jak2
38586891 | Association | Glucose | Igf1
35881160 | Association | Liver Neoplasms | NR1I3
35881160 | Positive_Correlation | Phenobarbital | NR1I3
38164132 | Association | SIRPA | Cd47
38164132 | Association | Neoplasms | SIRPA
38164132 | Association | Copper-64 | Neoplasms
33478139 | Association | ERVK-6 | CXCR4
33478139 | Association | env | CD4
33478139 | Association | CCR5 | env
33478139 | Association | env | CXCR4
33478139 | Association | CCR5 | ERVK-6
33478139 | Bind | ERVK-6 | CD4
37846815 | Negative_Correlation | Gemcitabine | NMI
37846815 | Association | Neoplasms | NMI
37846815 | Association | MYCN | NMI
37846815 | Positive_Correlation | Ifit3 | Nmi
37846815 | Association | MYCN | Nmi
37846815 | Association | Neoplasms | Nmi
37846815 | Association | Gemcitabine | Stat3
37846815 | Negative_Correlation | Gemcitabine | Carcinoma Pancreatic Ductal
37846815 | Association | Ifit3 | Stat3
37846815 | Association | Stat3 | NMI
37846815 | Positive_Correlation | Carcinoma Pancreatic Ductal | NMI
37846815 | Association | Carcinoma Pancreatic Ductal | MYCN
37846815 | Association | BRCA1 | NMI
37846815 | Association | Carcinoma Pancreatic Ductal | Nmi
37846815 | Association | Pancreatic Neoplasms | NMI
37846815 | Association | Gemcitabine | Ifit3
37846815 | Negative_Correlation | Gemcitabine | Pancreatic Neoplasms
37846815 | Association | Stat3 | Nmi
37846815 | Negative_Correlation | Gemcitabine | Nmi
37846815 | Positive_Correlation | Ifit3 | NMI
38593156 | Association | Mcl1 | Pias2
38593156 | Association | Pias2 | Huwe1
38593156 | Association | Ifnb1 | Hdac1
38593156 | Association | Influenza Human | Mcl1
38593156 | Association | Influenza Human | Pias2
38593156 | Association | Ifna | Pias2
38593156 | Association | Ifnb1 | Pias2
38593156 | Association | Pias2 | Cul4b
38593156 | Association | Ifna | Hdac1
38593156 | Positive_Correlation | Pias2 | Hdac1
38593156 | Association | Influenza Human | Cul4b
27012186 | Negative_Correlation | NFKB1 | NMI
27012186 | Positive_Correlation | TNF | NMI
27012186 | Negative_Correlation | RELA | NMI
27012186 | Negative_Correlation | Stomach Neoplasms | NMI
27012186 | Negative_Correlation | Neoplasm Metastasis | NMI
27012186 | Association | Neoplasms | NFKB1
27012186 | Negative_Correlation | Neoplasms | NMI
37069359 | Negative_Correlation | Multiple Myeloma | CSF3
37069359 | Association | CSF3 | CD34
21931855 | Association | NKX3-1 | SUMO1
21931855 | Association | NKX2-5 | SUMO1
37393345 | Association | Bronchial Hyperreactivity | p.K1007R
37393345 | Negative_Correlation | IL13 | ROCK2
37393345 | Association | Inflammation | #9475#
37393345 | Association | Bronchial Hyperreactivity | #9475#
37393345 | Association | RHOA | ROCK2
37393345 | Association | Inflammation | p.K1007R
37393345 | Positive_Correlation | PIAS1 | ROCK2
37393345 | Association | Inflammation | ROCK2
37393345 | Association | Bronchial Hyperreactivity | ROCK2
37393345 | Association | Asthma | ROCK2
30569507 | Association | Neoplasms | CXCR4
30569507 | Association | Carcinoma Hepatocellular | CXCR4
30569507 | Association | Fibrosis | CXCR4
34501388 | Negative_Correlation | Bortezomib | CXCR4
34501388 | Association | Multiple Myeloma | CXCR4
34501388 | Negative_Correlation | plerixafor | Multiple Myeloma
34501388 | Association | Sarcoma Myeloid | CXCR4
34501388 | Negative_Correlation | plerixafor | CXCR4
34501388 | Negative_Correlation | Bortezomib | NFKB1
34501388 | Negative_Correlation | plerixafor | CXCL12
34501388 | Association | Multiple Myeloma | CD38
34501388 | Bind | CXCL12 | CXCR4
34501388 | Negative_Correlation | Bortezomib | Sarcoma Myeloid
34501388 | Association | Multiple Myeloma | CXCL12
34501388 | Negative_Correlation | Bortezomib | Multiple Myeloma
34501388 | Negative_Correlation | daratumumab | CD38
34501388 | Negative_Correlation | Denosumab | Bone Resorption
22824807 | Association | POLD2 | PIAS2
22824807 | Association | POLD2 | STAT2
22824807 | Association | Pias2 | Pold2
22824807 | Association | Pold2 | PIAS2
21624955 | Association | Prkcz | Pias4
21624955 | Association | 3-nitrotyrosine | Trp53-ps
21624955 | Positive_Correlation | Prkcz | Trp53-ps
21624955 | Bind | Bcl2 | Trp53-ps
21624955 | Association | Trp53-ps | Pias4
21624955 | Association | Atherosclerosis | Pias4
21624955 | Association | Peroxynitrous Acid | Trp53-ps
